idComercio,seccion_orden,seccion_titulo,orden,nombre,descripcion,precio,precio_texto
7,8,Recomendaciones del Chef,7,Rabo de langosta con mofongo,,0,Precio según peso
7,8,Recomendaciones del Chef,8,Chillo entero con tostones,,0,Precio según peso
