id,source,source_event_id,nombre,descripcion,costo,gratis,lugar,direccion,municipio_id,categoria,enlaceboletos,boletos_por_localidad,imagen,imagen_orientacion,image_crop_mode,image_focus_x,image_focus_y,image_zoom,image_focus_confidence,image_focus_source,activo
152,prticket,cortaditoocapuchino,¿Cortadito o capuchino?,"¿Cortadito o capuchino? Regresa a Abracadabra la exitosa obra de teatro '¿Cortadito o capuchino?', una historia de dos enamorados que desafían clases sociales y presiones familiares para apostar a quererse. “¿Cortadito o capuchino?”narrada por meseros que cantan y actúan combina teatro, música y gastronomía; logrando una experiencia única a los espectadores, bajo la dirección de Rosa Luisa Márquez. Un trabajo teatral hermoso junto con comida riquísima. ¿Cortadito o Capuchino? con las actuaciones de Israel Lugo, Jessica Rodríguez, Yan Collazo y Héctor Pietri, Adriana Ramírez, Fátima Ortega y Jorge Alexander. La música en vivo estará a cargo de Rafael Martinez. 🚨 Nuevas Funciones: 🗓️ 6, 8, 13, y 15 de mayo de 2026 ⏰ 8:00 PM (Puertas abren 7pm, Cocina y coctelería durante la función) 📍 Abracadabra Counter Café en Santurce, San Juan, Puerto Rico Precios: General: $25.00 + ivu + c.s.",$25.00,false,Abracadabra Counter Cafe,San Juan @ Abracadabra Counter Cafe,65,7,https://boletos.prticket.com/events/en/cortaditoocapuchino,false,https://boletos.prticket.com/events/img_web/3/328/2246/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
153,prticket,disneyonice,Disney On Ice,"Disney On Ice Disney On Ice - Jump in! invita a las familias a disfrutar de las mágicas aventuras de Frozen, Inside Out, Zootopia, & otros …. del 29 de Mayo al 7 de Junio en el Coliseo Roberto Clemente de San Juan. En este espectáculo, los asistentes podrán cantar junto a los personajes favoritos como Anna, Elsa, Las Emociones de Inside Out, Moana, Maui, Nick, Judy y muchos otros personajes de Disney, mientras experimentan un show de patinaje único, entre acrobacias aéreas, tus canciónes favoritas y mucho más. Desde 29 de mayo en adelante - Varios horarios disponibles @ Coliseo Roberto Clemente, San Juan Precios: Balcón Lateral- $14.00 + ivu & c.s. Central- $18.00 + ivu & c.s. Preferencia Lateral- $23.00 + ivu & c.s. Central- $33.00 + ivu & c.s. Palco Lateral- $43.00 + ivu & c.s. Central- $53.00 + ivu & c.s. VIP - $73.00 + ivu & c.s. Niños de 2 años en adelante requieren boleto de admisión. *** Todas las secciones son asientos enumerados *** *** PRticket.com - Boleteria Oficial de Disney on Ice - 2026 (Puerto Rico) es la única autorizada a la venta y distribución de los boletos para las funciones. No nos hacemos responsables por boletos emitidos, comprados o distribuidos por terceros. Toda duda o reclamación será con el comprador original de la orden. Todas las ventas son finales. No se aceptan solicitudes de cancelaciones o devoluciones. Los reembolsos o cambios se realizan solo para eventos cancelados o pospuestos. En todos los casos en que se reembolsa un boleto, solo aplica al precio y el impuesto del boleto, los cargos por servicio no son reembolsables.***",desde $14.00,false,CRC_disney,San Juan @ CRC_disney,65,7,https://boletos.prticket.com/events/en/disneyonice,false,https://boletos.prticket.com/events/img_web/3/12/378/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
154,prticket,dragacadabra,DRAGACADABRA,"DRAGACADABRA Te invitamos a celebrar el Mes del Orgullo con una noche de drag, música y mucha energía. Ven a disfrutar de un show lleno de talento, color y celebración de la diversidad. Contamos con la participación estelar de: Anoma Lia Victoria Holiday Catalina Tyrrell Y Cocho Altieri 🏳️‍🌈Ambientación musical por: DJ IMPERIA 🗓 sábado, 20 de junio de 2026 ⏰ 8:00 PM 📍 Abracadabra Counter Café en Santurce, San Juan, Puerto Rico Precio: General: $12.00 + ivu + c.s.",$12.00,false,Abracadabra Enumerado New,San Juan @ Abracadabra Enumerado New,65,7,https://boletos.prticket.com/events/en/dragacadabra,false,https://boletos.prticket.com/events/img_web/3/328/2122/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
155,prticket,elmagodeoz,El Mago de Oz,"El Mago de Oz Es una adaptación de baile basada en la obra El Mago de Oz del autor L. Frank Baum. En una tierra lejana de Kansas, la joven Dorothy sueña con un mundo más allá de su rutina diaria. Tras la llegada de un poderoso tornado, es transportada mágicamente al colorido y fantástico mundo de Oz. Desorientada pero valiente, Dorothy inicia un viaje por el Camino de Ladrillos Amarillos con la esperanza de encontrar al gran Mago de Oz, quien podría ayudarla a regresar a casa. En su travesía conoce a tres entrañables compañeros: el Espantapájaros, que anhela un cerebro; el Hombre de Hojalata, que desea un corazón; y el León Cobarde, que busca valor. Juntos enfrentan desafíos y descubren que las cualidades que buscan siempre han estado dentro de ellos. Guiados por las bondadosas Brujas Buenas del Norte y Sur; son perseguidos por la temible Bruja Malvada del Oeste, vivirán aventuras llenas de magia, amistad y valentía. Al final, Dorothy comprende que el verdadero hogar no es solo un lugar, sino donde habitan el amor y los recuerdos. Esta presentación combina las técnicas del Ballet, Jazz, Tap , Hip Hop, Danza Moderna, Danza Contemporánea y Danza Aérea en Cuerda, para contar una historia atemporal sobre el coraje, la amistad y el poder de creer en uno mismo. 🗓️ sábado, 6 de junio ⏰ 7:00 PM 🗓️ domingo, 7 de junio ⏰ 3:00 PM 📍 Teatro Tapia en Viejo San Juan, San Juan, Puerto Rico Precio: Platea: $30.00 + ivu + c.s. Palco 1er Nivel: $30.00 + ivu + c.s. Palco 2do Nivel: $25.00 + ivu + c.s. Platea: $20.00 + ivu + c.s.",desde $20.00,false,T.Tapia - 4 precios,San Juan @ T.Tapia - 4 precios,65,7,https://boletos.prticket.com/events/en/elmagodeoz,false,https://boletos.prticket.com/events/img_web/3/36/2367/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
156,prticket,firstattack2026,🎮 FIRST ATTACK 2026,"🎮 FIRST ATTACK 2026 El Evento de Gaming Más Grande del Caribe First Attack regresa del 2 al 4 de octubre en el Centro de Convenciones de Puerto Rico — y esta edición es diferente. Este año renovamos la experiencia completa. Títulos nuevos, atracciones interactivas, TCG, Tabletop Games, invitados especiales y actividades para todo tipo de gamer. No importa si vienes a competir, a coleccionar o simplemente a disfrutar — aquí hay algo para ti. 🗓️ 2 – 4 de octubre de 2026 · Viernes a Domingo ⏰ 10:00 AM – 10:00 PM 📍 Centro de Convenciones de Puerto Rico ⚔️ Fighting Games 2XKO 💰 $6,000 en premios Tekken 8 💰 $2,000+ en premios Street Fighter 6 · Street Fighter V: Champion Edition · Street Fighter IV · Street Fighter III: 3rd Strike · Street Fighter 2 Super Turbo · Mortal Kombat 1 · Guilty Gear Strive · Fatal Fury: City of the Wolves · Super Smash Bros. Ultimate · The King of Fighters XV · Rivals of Aether 2 · Granblue Fantasy Versus: Rising · Avatar Legends: The Fighting Game · Tokon Fighting Souls · InvincibleVS · MLB The Show 2026. Team Games Overwatch · Fortnite · Mario Kart World Trading Card Games Yu-Gi-Oh! · One Piece · Pokémon TCG 🎯 Más Actividades 🪀 Torneos de Beyblade 🎲 Tabletop Games 🕹️ Área Retro — High Score Challenges y torneos clásicos ⚡ Dinámicas interactivas y atracciones sorpresa Cosplay Contest ¿Tienes el mejor cosplay del Caribe? Más detalles próximamente en firstattackpr.org ¿Listo para competir? Regístrate en firstattackpr.org Mucho más que un torneo… es una EXPERIENCIA. ¡Nos vemos en First Attack 2026! 🎮 Precios: Entrada General (por día): $25.00 +ivu & c.s. Niño (menos de 10yrs) (por día): $20.00 +ivu & c.s. 2 Day Experience: $30.00 +ivu & c.s. 2 Day Experience Niños: $25.00 +ivu & c.s. Weekend Pass (tres dias): $45.00 +ivu & c.s. ( Weekend Pass Niños (tres dias): $35.00 +ivu & c.s. VIP PASS: $70.00 +ivu & c.s. Pase de 3 dias ⁠Early Access⁠ ⁠Express Line dia del evento ⁠VIP Preferred seating para Finales de First Attack Camiseta conmemorativa del evento VIP Badge customizada con Nombre o Gamertag que disease Additional Bonuses Niños Menores de 2 años - Entrada Libre de Costo",desde $20.00,false,First Attack,San Juan @ First Attack,65,4,https://boletos.prticket.com/events/en/firstattack2026,false,https://boletos.prticket.com/events/img_web/3/35/2362/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
157,prticket,gamingisland,Gaming Island 2026 - Coliseito Pedrín Zorrilla,"Gaming Island 2026 Gaming Island regresa al coliseo Pedrín Zorrilla. Un evento que reúne a jóvenes para sumergirse en un mundo de gaming con varias atracciones para todas las edades. Evento abierto para escuelas y campamentos de verano. Una experiencia interactiva inolvidable. Visita diferentes áreas en el evento tales como: Talleres de Robótica Talleres de Desarrollo de Videojuegos Talleres de STEM Área interactiva de Realidad Virtual Diversos áreas de juegos retro. Videojuegos competitivos (Esports Área) áreas interactivas Goofy Games Los campamentos interesados en participar del evento, favor de comunicarse al email [email protected] . 🗓️ jueves, 18 de Junio de 2026 ⏰ 8:00 AM a 3:00 PM 📍 Coliseito Pedrín Zorrilla, San Juan, Puerto Rico Precios: Adultos: $20.00 + ivu + c.s. Niños: $15.00 + ivu & c.s. (4 años en adelante)",desde $15.00,false,Coliseito Pedrín Zorrilla General,San Juan @ Coliseito Pedrín Zorrilla General,65,4,https://boletos.prticket.com/events/en/gamingisland,false,https://boletos.prticket.com/events/img_web/3/70/175/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
158,prticket,irvingdarisho,Irving & Darisho,"¡Irving Alberti y su personaje Darisho están de gira mundial! Irving & Darisho Y su primera parada es aquí en SanJuan, Puerto Rico, con una única presentación, este próximo sábado 08 de agosto a las 8:30 pm, en el Teatro Tapia. ¡Prepárate para reír a carcajadas con Irving Alberti y su inconfundible personaje Darisho!. Habrá imitaciones, parodias, monólogos, stand up comedy y por supuesto las confesiones de Darisho, las cuales son cada vez más ocurrentes!. Te invitamos a vivir una noche única llena de humor, sorpresas y la magia de Irving y Darisho. 🗓️ sábado, 8 de agosto de 2026 ⏰ 8:30 PM 📍 Teatro Tapia en Viejo San Juan, San Juan, Puerto Rico Precios: Platea 1: $50.00 + ivu + c.s. Platea 2: $40.00 + ivu + c.s. Palco 1er Niverl: $30.00 + ivu + c.s. Palco 2do Nivel: $20.00 + ivu + c.s. Paraíso: $15.00 + ivu + c.s.",desde $15.00,false,Irving & Darisho,San Juan @ Irving & Darisho,65,10,https://boletos.prticket.com/events/en/irvingdarisho,false,https://boletos.prticket.com/events/img_web/3/36/2363/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
159,prticket,karmavalcuartaedicion,Karmaval,"Karmaval Adéntrate en un espacio donde el movimiento se convierte en medicina y la quietud en claridad. Únete a Karmaval para un encuentro inspirador de yoga, meditación, pilates, danza extática, tai chi y otras experiencias de bienestar diseñadas para reconectarte con tu cuerpo, calmar tu mente y elevar tu espíritu. No se necesita experiencia; solo trae tu yoga mat, tu respiración, tu presencia y un corazón abierto. Ven tal como eres. Sal renovado. Únete hoy. ¡Te esperamos! 🗓️ sábado, 20 de Junio de 2026 ⏰ 8:30 AM - 2:30 PM 📍 Playa El Escambrón, San Juan Precio: General: $20.00 + ivu & c.s. Bundle: $60.00 + ivu & c.s. (4 personas)",desde $20.00,false,Playa El Escambrón,"Playa El Escambrón, San Juan",65,9,https://boletos.prticket.com/events/en/karmavalcuartaedicion,false,https://boletos.prticket.com/events/img_web/3/300/2373/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
160,prticket,lacomidacomoculturadialogosdesobremesa,La comida como cultura: diálogos de sobremesa,"🎟 La comida como cultura: diálogos de sobremesa 🎟 Regresa por tercera ocasión el encuentro “La comida como cultura: diálogos de sobremesa” , en esta ocasión se celebrará en el municipio de Caguas el sábado, 23 de mayo de 2026. Un evento abierto al público general para pensar la comida: ¿De dónde viene? ¿Quién la produce? ¿Cuál es el futuro para Puerto Rico? Un espacio de conferencias y diálogos donde podrás escuchar, proponer, debatir y reflexionar junto a quienes inciden en el sistema agroalimentario puertorriqueño. Durante esta edición, el tema central será la producción de carnes en el archipiélago. Los diálogos (conferencias) serán dirigidos por la chef Giovanna Huyke y el investigador Dr. Luis Alexis Rodríguez, quienes integrarán a historiadores, chefs, ganaderos, gestores, agricultoras y académicos sobre el tema cárnico. Con la compra del boleto podrás acceder a las seis conferencias que transcurrirán durante el día, iniciando desde las 10:00am. Paralelo a las conferencias, podrán disfrutar sin costo: Exhibición de arte: “La comida como cultura” (9:00am) Mercado agrícola ( 9:00am) Talleres educativos (10:00am) Fecha: 23 de mayo de 2026 Horario: 9:00am - 4:30pm Lugar: Centro Criollo de Ciencias y Tecnologías del Caribe (C3Tec), Caguas P.R. ¡Asegura tu entrada y hablemos de comida! Precio: $10.00 más IVU & CS - hasta el 22 de mayo de 2026 $15 más IVU & CS - costo en la puerta 23 de mayo de 2026",desde $10.00,false,Teatro del C3TEC,Caguas @ Teatro del C3TEC,13,7,https://boletos.prticket.com/events/en/lacomidacomoculturadialogosdesobremesa,false,https://boletos.prticket.com/events/img_web/3/597/2336/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
161,prticket,lagala,"La Gala ""Por La Escena""","La Gala ""Por La Escena"" Vive una noche única en el Teatro del Recinto de Río Piedras, un espacio histórico donde el arte, la música y la universidad se unen para crear una experiencia cultural inolvidable. La Gala ""Por La Escena"" celebra el talento, la cultura y la comunidad que se cocina dentro de la Universidad de Puerto Rico, reuniendo arte, música y gastronomía en un mismo espacio. Disfruta de una noche de música en vivo, presentaciones de danza contemporánea y la participación de agrupaciones musicales del recinto. La experiencia gastronómica estará inspirada en productos locales y de temporada, diseñada por chefs reconocidos del país desde una visión agrocultural y sostenible. Este evento benéfico busca recaudar fondos para apoyar la programación cultural y académica de la Facultad de Humanidades de la Universidad de Puerto Rico. Código de vestimenta : Elegante 🗓️ sábado, 16 de mayo de 2026 ⏰ 7:00 PM 📍Teatro de la Universidad de Puerto Rico en Río Piedras, San Juan, Puerto Rico Precio: General: $150.00",$150.00,false,General,San Juan @ General,65,7,https://boletos.prticket.com/events/en/lagala,false,https://boletos.prticket.com/events/img_web/3/55/2334/m_banner.webp,horizontal,cover,0.5,0.26,1.08,72,prticket_auto_v1,true
