id,evento_municipio_id,source,fecha,horainicio,mismahora
9830,1915,prticket,2026-06-22,20:00,false
9831,1915,prticket,2026-06-29,20:00,false
9832,1915,prticket,2026-07-06,20:00,false
9833,1915,prticket,2026-07-13,20:00,false
9834,1916,prticket,2026-05-14,20:00,false
9835,1916,prticket,2026-05-23,20:00,false
9836,1917,prticket,2026-08-29,09:00,false
9837,1917,prticket,2026-08-30,09:00,false
9838,1918,prticket,2026-07-11,18:00,false
9839,1919,prticket,2026-05-15,20:30,false
9840,1919,prticket,2026-05-16,20:30,false
9841,1919,prticket,2026-05-17,17:00,false
9842,1920,prticket,2026-05-23,20:30,false
9843,1920,prticket,2026-05-24,17:00,false
9844,1921,prticket,2026-06-07,16:30,false
9845,1922,prticket,2026-08-30,16:00,false
9846,1923,prticket,2026-05-30,11:00,false
9847,1924,prticket,2026-06-20,19:30,false
9848,1925,prticket,2026-05-21,18:00,false
9849,1925,prticket,2026-06-11,18:00,false
9850,1925,prticket,2026-06-17,18:00,false
9851,1925,prticket,2026-06-20,18:00,false
9852,1925,prticket,2026-06-24,18:00,false
9853,1926,prticket,2026-06-27,20:00,false
9854,1927,prticket,2026-05-30,20:00,false
9855,1928,prticket,2026-06-06,20:00,false
9856,1929,prticket,2026-06-14,17:00,false
9857,1930,prticket,2026-09-19,20:00,false
