place_id,nombre,categoria_principal,subcategoria_sugerida
ChIJN9XXSMfUHIwRXa8F3iaKcDI,PCS Fitness,Gimnasios,Bienestar
ChIJN9XXSMfUHIwRXa8F3iaKcDI,PCS Fitness,Gimnasios,Fitness
ChIJ_7bQJ4vVHIwRNrqL42Ncaa0,Aqua Spinning de Ponce,Gimnasios,Bienestar
ChIJf7y7GxXVHIwRS0vXQly-Jbc,Crossfit WIA,Gimnasios,Gimnasio General
ChIJf7y7GxXVHIwRS0vXQly-Jbc,Crossfit WIA,Gimnasios,Bienestar
ChIJf7y7GxXVHIwRS0vXQly-Jbc,Crossfit WIA,Gimnasios,Crossfit
ChIJWZUUUXcyHYwRgUXg2Mm9Ci4,La Capital Gym,Gimnasios,Gimnasio General
ChIJWZUUUXcyHYwRgUXg2Mm9Ci4,La Capital Gym,Gimnasios,Bienestar
ChIJWZUUUXcyHYwRgUXg2Mm9Ci4,La Capital Gym,Gimnasios,Fitness
ChIJu4beWgArHYwRM2WNkQ6UzxI,Antiguo Papo Boxing Club,Gimnasios,Gimnasio General
ChIJu4beWgArHYwRM2WNkQ6UzxI,Antiguo Papo Boxing Club,Gimnasios,Bienestar
ChIJu4beWgArHYwRM2WNkQ6UzxI,Antiguo Papo Boxing Club,Gimnasios,Boxeo
ChIJFXF8NE9vA4wRquijLcGyBu8,LIV Fitness Condado,Gimnasios,Gimnasio General
ChIJFXF8NE9vA4wRquijLcGyBu8,LIV Fitness Condado,Gimnasios,Bienestar
ChIJFXF8NE9vA4wRquijLcGyBu8,LIV Fitness Condado,Gimnasios,Fitness
ChIJBb4F8WVoA4wREHoUAVnoz4o,Planet Fitness,Gimnasios,Gimnasio General
ChIJBb4F8WVoA4wREHoUAVnoz4o,Planet Fitness,Gimnasios,Bienestar
ChIJBb4F8WVoA4wREHoUAVnoz4o,Planet Fitness,Gimnasios,Spa
ChIJBb4F8WVoA4wREHoUAVnoz4o,Planet Fitness,Gimnasios,Fitness
ChIJuWJQOTE1HYwRyz8eVJPJ5gU,Novovida Gym Club,Gimnasios,Gimnasio General
