place_id,nombre,categoria_principal,subcategoria_sugerida
ChIJ8e1Rl5VnA4wRWtUBNl9OAuQ,Beautiful Spirit Boutique,Boutiques,Ropa
ChIJ8e1Rl5VnA4wRWtUBNl9OAuQ,Beautiful Spirit Boutique,Boutiques,Tienda
ChIJ8e1Rl5VnA4wRWtUBNl9OAuQ,Beautiful Spirit Boutique,Boutiques,Moda
ChIJPdlApZfVHIwREvlF9v91Ojo,Grace Marie Studio,Boutiques,Ropa
ChIJPdlApZfVHIwREvlF9v91Ojo,Grace Marie Studio,Boutiques,Tienda
ChIJQznoveNoA4wRhPikeeol3Pg,Bliss Boutique,Boutiques,Ropa
ChIJQznoveNoA4wRhPikeeol3Pg,Bliss Boutique,Boutiques,Tienda
ChIJQznoveNoA4wRhPikeeol3Pg,Bliss Boutique,Boutiques,Moda
ChIJuYQ9KjO7AowRXIlaoUAWf5A,Lily's Touch,Boutiques,Ropa
ChIJuYQ9KjO7AowRXIlaoUAWf5A,Lily's Touch,Boutiques,Tienda
ChIJn4jR6jVpA4wRoohymRLtxMk,Khloe Boutique,Boutiques,Ropa
ChIJn4jR6jVpA4wRoohymRLtxMk,Khloe Boutique,Boutiques,Tienda
ChIJn4jR6jVpA4wRoohymRLtxMk,Khloe Boutique,Boutiques,Moda
ChIJyZT83AozA4wRUdiUJi3bFSQ,Nahias Boutique,Boutiques,Ropa
