nombre,subcategoria_actual
Café Paraíso,Barras
K´bitos Brothers Sport Bar,Barras
El Rey del Cruce,Barras
Tijuana's Las Piedras,Barras
El Carreton de Madeline,Barras
- Plaza del Mercado de Río Piedras,Barras
Beauty Bar La Botica,Barras
The Queen Churros,Barras
La placita nocturna,Barras
Orange Coffee LLC,Barras
Flor De Parcha,Barras
Los castros Sport and bar,Barras
Colmado Bar Las 3 Palmitas,Barras
Colmado Bar El Resuelve,Barras
El Ensayo Café • Teatro • Bar,Barras
Bar La Minita,Barras
Carmela Foods,Barras
Las 3 J,Barras
El Hipopótamo,Barras
Mario's Pizza,Barras
Joe's Pizza,Barras
Naturola La Barra,Barras
Las Campiñas Mini-Market,Barras
Bar El Deportivo,Barras
Bianca’s VIP Lounge,Barras
"PINONES.COM Restaurant, Bar & Grill",Barras
The Ocean Bar & Rest.,Pubs
Superduper,Pubs
BOSCO,Pubs
Iguana Bar,Pubs
El Cabo,Pubs
El K'Rajo Beach Bar,Pubs
The Quarter Sport Bar,Pubs
La Casita Amarilla,Pubs
Las Reinas De La Piña Colada,Pubs
The Terrace Inc,Pubs
Antes De Lounge,Pubs
Camarero Sports Bar,Pubs
Hyde bar lounge,Pubs
Equino's Sport Bar,Pubs
El Tap Beer Co.,Pubs
El Nuevo Cocotero,Pubs
Kiosko La Comay,Pubs
Aquí se come bueno,Pubs
The New Reef,Pubs
Furtivo Speakeasy,Pubs
Loiza Street Station Bar,Pubs
Burger & Wings Bar,Pubs
Música Bar & Lounge PR,Pubs
El Buho Sport Bar,Pubs
HP Tavern,Pubs
Bar El Grillo,Pubs
Pinky's Calle Loíza,Pubs
La Vuelta Bar & Cocktails,Pubs
La Cueva del Mar | Calle Loíza,Pubs
La Rumba Loíza,Pubs
Oasis Tapas & Lounge,Pubs
La Terraza de Bonanza,Pubs
El Bar Bero,Pubs
La Cueva del Mar Isla Verde,Pubs
Charlie's Melodies,Pubs
Kiosko El Boricua,Pubs
Bebo's Café,Pubs
El Coco Frio,Pubs
Andy's Pub,Pubs
Cafetín El Hípico,Pubs
Boronía en la Placita,Pubs
Paladar Villa Fla & Guest House,Pubs
El_Father_Bar&Grill,Pubs
Carmín,Pubs
Mojito Beach Bar- Isla Verde,Pubs
Mi Casita Seafood,Pubs
El Monopolio Sports Bar & Grill.,Barras
El Parrilla,Pubs
Neiva,Pubs
Vintage 254,Pubs
El Nuevo Acuario,Pubs
Música Bar & Lounge PR,Discotecas
Kiosko La Comay,Discotecas
The Terrace Inc,Discotecas
Hyde bar lounge,Discotecas
Antes De Lounge,Discotecas
EBO Lounge,Discotecas
The New Reef,Discotecas
BOSCO,Discotecas
7eight7,Discotecas
Fifty Eight,Discotecas
El Parrilla,Discotecas
Ready Go,Discotecas
El K'Rajo Beach Bar,Discotecas
La Casita Amarilla,Discotecas
Furtivo Speakeasy,Discotecas
Sand Trap Bar & Grill,Barras
Taberna Los Vázquez,Discotecas
Kiosko El Boricua,Discotecas
Loiza Street Station Bar,Discotecas
El Nuevo Acuario,Discotecas
Superduper,Discotecas
Zul Rooftop,Discotecas
Club Vibra,Discotecas
Carmín,Discotecas
Kumo Rooftop,Discotecas
El Local en Santurce,Discotecas
Oasis Tapas & Lounge,Discotecas
D'Girls Gentlemen After Hours Club and Sushi Bar,Discotecas
La Chulería,Discotecas
El Tap Beer Co.,Discotecas
The Terrace Inc,Barras
The New Reef,Barras
El K'Rajo Beach Bar,Barras
Mojito Bar & Grill Hacienda Campo Rico,Barras
Pacos Cafe,Barras
Kiosko La Comay,Barras
La Casita Amarilla,Barras
Bebo's Café,Barras
Carmín,Barras
El Parrilla,Barras
Kiosko El Boricua,Barras
Paladar Villa Fla & Guest House,Barras
Raices Urbano,Barras
Sinaloa Marisquería Mexicana,Barras
El Nuevo Acuario,Barras
Pinky's Calle Loíza,Barras
La Cueva del Mar | Calle Loíza,Barras
Zajori Gastro Show,Barras
La Cueva del Mar Isla Verde,Barras
COPAS Restobar,Barras
Mi Casita Seafood,Barras
Sur Barra Nikkei,Barras
Música Bar & Lounge PR,Barras
La Chulería,Barras
Furtivo Speakeasy,Barras
AWWA Raw Bar,Barras
Kumo Rooftop,Barras
La Pastizzería Isla Verde,Barras
El Tap Beer Co.,Barras
Carabalí Bar & Grill,Barras
Clave Sol Bar & Rest.,Barras
Vagabundo Social Speakeasy,Barras
Destilado,Barras
Boardrider's Surf Bar and Grill,Barras
Edelweiss Bar & Grill,Barras
El Patio 773,Pubs
Drink&Play Rest.,Pubs
El Tipico,Pubs
CNOTE Jazz Club,Pubs
MojitoLab,Pubs
Calle 13 Mexican Cantina & Tequila Bar,Pubs
El Jefe Burger Shack And Mojito Factory,Pubs
Bikini Sport Bar,Pubs
5 o'Clock Somewhere Bar,Pubs
Asador Boricua,Pubs
Rincón del Sabor,Pubs
La Parrilla,Pubs
TAKIRRIQUEÑO LUQUILLO,Pubs
The Ossobuco,Pubs
Bungalu Rest & Bar,Pubs
Gringos Sport And Bar,Pubs
Sama,Pubs
La Monserrate Liquor Store,Pubs
El Patio 773,Discotecas
Bikini Sport Bar,Discotecas
El Flamboyán,Discotecas
TAKIRRIQUEÑO LUQUILLO,Discotecas
El Jefe Burger Shack And Mojito Factory,Discotecas
El Patio 773,Barras
El Tipico,Barras
Bikini Sport Bar,Barras
The Sweet Corner Co.,Barras
Rincón del Sabor,Barras
Drink&Play Rest.,Barras
MojitoLab,Barras
La Fonda Gourmet,Barras
El Jefe Burger Shack And Mojito Factory,Barras
Nativa Latin Cuisine,Barras
TAKIRRIQUEÑO LUQUILLO,Barras
CNOTE Jazz Club,Barras
La Parrilla,Barras
Terruño,Barras
Revolution Pizza Shop,Barras
Tu Viandon,Barras
Sama,Barras
Bungalu Rest & Bar,Barras
SolÉo,Barras
Rock Out Café,Pubs
Pata Pata,Pubs
Todo Pasa Sport Bar,Pubs
Las Palmas Manati,Pubs
La Tranka Sport Bar,Pubs
PIGS Beer Garden,Pubs
Sartenes,Pubs
Fu Hou Sushi Bar,Pubs
Todo Pasa Sport Bar,Discotecas
Rock Out Café,Discotecas
Sunset Bar & Grill,Barras
Mártir's Sport Bar,Discotecas
El Mesón Sandwiches (Manatí),Discotecas
Lechonera Rancho Alegre,Discotecas
Pa'l Alambique,Discotecas
Patrick's Irish Bar,Discotecas
K-feína Coffee Shop Manatí,Discotecas
Wingstop,Discotecas
Pollo Costero,Discotecas
Rico Arepa,Discotecas
Panakeia,Discotecas
Pastelillos Lamboy,Discotecas
Pura Pesca,Discotecas
Alcapurrias La 15 HATILLO PR,Discotecas
Mitaza Coffee House,Discotecas
Veronica's Bakery,Discotecas
El Nuevo Auténtico,Discotecas
La Braza Smokehouse,Discotecas
Asador Don Pablo,Discotecas
Atenas Bakery,Discotecas
KAI,Discotecas
PanPan Manati,Discotecas
"Ekelekua - Brunch, Bar & Tapas",Discotecas
LongHorn Steakhouse,Discotecas
Fu Hou Sushi Bar,Discotecas
Rock Out Café,Barras
Pata Pata,Barras
Donde no te ven,Barras
Todo Pasa Sport Bar,Barras
Rico Arepa,Barras
Vega’s Hit N Run Bar N Batting Cage,Barras
El Mesón Sandwiches (Manatí),Barras
Sartenes,Barras
Freddy's Burger,Barras
El Jangueito,Barras
La Preñá - Manatí,Barras
Los Rabanos Supermarket,Barras
K-feína Coffee Shop Manatí,Barras
Pollo Costero,Barras
Lechonera Rancho Alegre,Barras
Pastelillos Lamboy,Barras
Tony's Place,Barras
Pa'l Alambique,Barras
Barrachina,Barras
Fu Hou Sushi Bar,Barras
PanPan Manati,Barras
Expreso Beer and More,Barras
Voka'o Sport Bar,Barras
Los Pinos Café,Barras
La Factoría,Barras
Wingstop,Barras
PIGS Beer Garden,Barras
La Intriga de Doña Tata,Barras
Veronica's Bakery,Barras
Mil Historias Mesón y Pico,Barras
Deaverdura,Barras
El Colmado del Pueblo,Barras
Seis-93 Patio Bar & Picadera,Barras
Nutrition World Manatí,Barras
Atenas Bakery,Barras
La Bodega Bar And Gril,Barras
Mitaza Coffee House,Barras
Tirado’s Sport Bar,Barras
Bakano’s Sport Bar,Barras
Manatí Fried Chicken,Barras
Sabor Frappé - Manatí,Barras
El Nuevo Auténtico,Barras
La Braza Smokehouse,Barras
Dora's Health Food,Barras
Acai Express Monte Real Manatí,Barras
Alcapurrias La 15 HATILLO PR,Barras
Las Tablas,Pubs
El Rincón de Los Recuerdos,Pubs
Sol Y Mar,Pubs
Charlie's Bar & Grill,Barras
Miramar Bar,Pubs
Lee Mary's Pizza,Pubs
Los Tres Palos,Pubs
La Casona de Artemio,Pubs
Cafe El Mañanero,Pubs
El Buen Café,Pubs
Erik's Bakery and Pastry Shop,Pubs
Las Tablas,Discotecas
El Rincón de Los Recuerdos,Discotecas
El Desahogo,Discotecas
Sol Y Mar,Discotecas
Los Tres Palos,Discotecas
Beerloteca,Discotecas
Cowboys Cantina & Outside Grill,Discotecas
Caddy's Calypso,Discotecas
Lee Mary's Pizza,Discotecas
La Barrita de Norbert,Barras
Las Tablas,Barras
Casa Jíbara 00606,Barras
El Rincón de Los Recuerdos,Barras
Lee Mary's Pizza,Barras
El Buen Café,Barras
Cafe El Mañanero,Barras
Erik's Bakery and Pastry Shop,Barras
Negocio Carlos Seda,Barras
Sagra,Barras
Identidad Cocktail Bar,Barras
Maricao PR,Barras
El Muelle Restaurant Bar & Grill,Barras
Playa Soles Bar & Grill,Barras
El Callejón,Pubs
Pako Pepe,Pubs
Rincón Jueyero Sport Bar,Pubs
Bar El Jaguey Maunabo,Pubs
The Curve Bar,Pubs
El Tranque,Pubs
El Bache Bar & Rest.,Pubs
El Chapey Sport Bar,Pubs
La Placita Bar.,Pubs
La Cocina de Juanita,Pubs
Family's Pizza,Pubs
La Lomita del Sueño de un Jibarito,Pubs
Fulbari,Pubs
Bar La Línea,Pubs
Colmado Guantánamo - Pancho's Pub,Pubs
El Nuevo Milenium,Pubs
BaKno,Pubs
Al Aire Libre,Pubs
Siria's Cibercafe & Sportbar,Pubs
Modelos Bar,Pubs
El Callejón,Discotecas
Pako Pepe,Discotecas
La Lomita del Sueño de un Jibarito,Discotecas
El Callejón,Barras
Rincón Jueyero Sport Bar,Barras
Pako Pepe,Barras
Pika's Spot & Bar,Barras
La Lomita del Sueño de un Jibarito,Barras
Los Moralitos Sunset Bar & Grill - Restaurant,Barras
La Cocina de Juanita,Barras
El Tranque,Barras
Family's Pizza,Barras
El Chapey Sport Bar,Barras
The Little House Sport Bar and Grill,Barras
Las Copitas Sport Bar,Pubs
La Casita Bar,Pubs
Blue Bar,Pubs
Alba Biergarten,Pubs
Barrita El Tamarindo,Pubs
La Barrita de Manolo,Pubs
El Bambú (El Culito de David),Pubs
La Terraza Bar & Kitchen,Pubs
El Punto Sport Bar,Pubs
Toa Vaca View,Pubs
The Heritage Sports Bar,Pubs
Pa’Pikar y Algo Más Juana Díaz,Pubs
The Tranka,Pubs
The Pantheon,Pubs
Barrita Manel,Pubs
El Rincón Isleño,Pubs
Camino Al Bosque,Pubs
The Tenderete,Pubs
Red Pub,Pubs
the agave,Pubs
Pal' Barrio Bar & Grill,Barras
Pikandela Sport Bar,Pubs
Altura 561,Pubs
El Chinchorro de Aracelis,Pubs
The Hideaway Bar,Pubs
"VISTAS LOS LAGOS, VILLALBA",Pubs
Nacaguita Sport Bar,Pubs
La Curva de Gole,Pubs
Artesanale,Pubs
Aserradero Bar & Grill,Barras
The Commune,Pubs
La Casita Pa’l Monte,Pubs
Chinchorro,Pubs
Papi Pop Barra Y Colmado,Pubs
Jaime Bar and Grill,Barras
Guancha,Pubs
La Parada ‘149,Pubs
La Casita Bar,Discotecas
Blue Bar,Discotecas
Pa’L Monte de Villalba,Discotecas
Alba Biergarten,Discotecas
The Hideaway Bar,Discotecas
El Rincón Isleño,Discotecas
Camino Al Bosque,Discotecas
Pa'l Monte,Discotecas
Artesanale,Discotecas
La Casita Pa’l Monte,Discotecas
Pe Erre • Bembé & Sabrosura,Discotecas
El Rincón Isleño,Barras
Pa’L Monte de Villalba,Barras
Barrita El Tamarindo,Barras
La Terraza Bar & Kitchen,Barras
La Casita Bar,Barras
Camino Al Bosque,Barras
La Barrita de Manolo,Barras
Bread & Butter Co.,Barras
Alba Biergarten,Barras
Blue Bar,Barras
Barrita Manel,Barras
Dulce Locura,Barras
Artesanale,Barras
La Casita Pa’l Monte,Barras
Chinchorro,Barras
The Commune,Barras
