evento_id_temp,source_event_id,url,nombre_final,categoria_origen_boleteria,categoria_inferida_script,categoria_final_id,categoria_final_nombre,usa_sesiones_compra,total_sesiones_detectadas,total_venues_detectadas,municipio_principal_id,municipio_principal_nombre,municipios_detectados_en_venues,municipios_detectados_en_sesiones,lugar_principal,direccion_principal,total_fechas_finales,primera_fecha,ultima_fecha
235,kikoblade-penetrado-corozal,https://pietix.com/kikoblade-penetrado-corozal,Kiko Blade 'Penetrado' @ Corozal,,Comedia,10,,true,1,1,24,Corozal,24,24,Cine Teatro Manuel Nieves Quintero,"Cine Teatro Manuel Nieves Quintero, Corozal, Puerto Rico",1,2026-05-23,2026-05-23
236,tributo-al-divo-juangabriel,https://pietix.com/tributo-al-divo-juangabriel,Tributo Al Divo De Juárez,,Otros,9,,true,1,1,30,Guayama,30,30,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",1,2026-05-24,2026-05-24
237,manolo-in-caguas,https://pietix.com/manolo-in-caguas,Manolo En Caguas,,Comedia,10,,true,1,1,13,Caguas,13,13,La Mordida Taqueria Mexicana,"La Mordida Taqueria Mexicana, Caguas, Puerto Rico",1,2026-05-24,2026-05-24
238,julio-elcaco,https://pietix.com/julio-elcaco,Julio El Caco,,Comedia,10,,true,1,1,30,Guayama,30,30,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",1,2026-05-29,2026-05-29
239,sesion-inedita,https://pietix.com/sesion-inedita,Festival de Monólogos - Sesión Inédita,,Comedia,10,,true,2,1,65,San Juan,65,65,IMPRO Galería,"IMPRO Galería, San Juan, Puerto Rico",2,2026-05-29,2026-05-30
240,mejor-sola-studio58,https://pietix.com/mejor-sola-studio58,Mejor Sola Que Mal Acompañada,,Otros,9,,true,1,1,58,Ponce,58,58,Studio 58 Comedy Club,"Studio 58 Comedy Club, Ponce, Puerto Rico",1,2026-05-30,2026-05-30
241,un-abrazo-cultural-2026,https://pietix.com/un-abrazo-cultural-2026,Un Banquete de Aquí y de Allá: Un Abrazo Cultural,,Experiencia,15,,true,1,1,65,San Juan,65,65,Museo de Arte de Puerto Rico (MAPR),"Museo de Arte de Puerto Rico (MAPR), San Juan, Puerto Rico",1,2026-05-31,2026-05-31
242,samuel-rivera-intimo,https://pietix.com/samuel-rivera-intimo,Samuel Rivera 'Íntimo',,Magia / Ilusionismo,16,,true,1,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",1,2026-05-31,2026-05-31
243,solo,https://pietix.com/solo,Adrián Castellar 'Solo' ... El Stand Up,,Comedia,10,,true,3,3,30,Guayama,30|58|65,30|58|65,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",3,2026-06-05,2026-06-12
244,pa-que-te-rias,https://pietix.com/pa-que-te-rias,Pa-Que-Te Rías Tour,,Comedia,10,,true,1,1,27,Fajardo,27,27,Teatro José M. Lugo Emanuelli,"Teatro José M. Lugo Emanuelli, Fajardo, Puerto Rico",1,2026-06-06,2026-06-06
245,josue-comedy-madre-latina-tour,https://pietix.com/josue-comedy-madre-latina-tour,"Josué Comedy: Madre Latina, Peligrosa... Pero Divina",,Ferias,4,,true,9,9,28,Florida,28,28,Ocala Civic Theater,"Ocala Civic Theater, Ocala, Florida",9,2026-06-13,2026-11-01
246,desnuda,https://pietix.com/desnuda,Desnuda,,Comedia,10,,true,2,2,58,Ponce,30|58,30|58,Mesas y Telón By Dominguez,"Mesas y Telón By Dominguez, Ponce, Puerto Rico",2,2026-06-06,2026-06-27
247,asi-somos,https://pietix.com/asi-somos,#AsíSomos,,Comedia,10,,true,1,1,28,Florida,28,28,Sun On the Beach,"Sun On the Beach, Kissimmee, Florida",1,2026-06-06,2026-06-06
248,the-bars-show-2026,https://pietix.com/the-bars-show-2026,The Bars Show 2026,,Experiencia,15,,true,2,1,65,San Juan,65,65,Puerto Rico Convention Center,"Puerto Rico Convention Center, San Juan, Puerto Rico",2,2026-06-07,2026-06-08
249,con-pablo-en-el-alma,https://pietix.com/con-pablo-en-el-alma,¡Con Pablo En El Alma! Tributo a Pablo Milanés,,Conciertos,1,,true,1,1,30,Guayama,30,30,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",1,2026-06-07,2026-06-07
250,super-otaku-con,https://pietix.com/super-otaku-con,Super Otaku Con,,Comicon / Cosplay,14,,true,6,4,58,Ponce,58,58,3 DAY PASS - Complejo Ferial de Puerto Rico,"3 DAY PASS - Complejo Ferial de Puerto Rico, Ponce, Puerto Rico",6,2026-06-12,2026-06-14
251,la-puerca-de-juan-bobo,https://pietix.com/la-puerca-de-juan-bobo,La Puerca De Juan Bobo,,Gastronomía,17,,true,1,1,27,Fajardo,27,27,La Estación,"La Estación, Fajardo, Puerto Rico",1,2026-06-13,2026-06-13
252,la-nueva-corte,https://pietix.com/la-nueva-corte,La Nueva Corte de Hombres Maltratados,,Charla / Conferencia,13,,true,2,2,58,Ponce,58|64,58|64,Mesas y Telón By Dominguez,"Mesas y Telón By Dominguez, Ponce, Puerto Rico",2,2026-06-13,2026-07-18
