id,source,source_event_id,nombre,descripcion,costo,gratis,lugar,direccion,municipio_id,categoria,enlaceboletos,boletos_por_localidad,imagen,imagen_orientacion,image_crop_mode,image_focus_x,image_focus_y,image_zoom,image_focus_confidence,image_focus_source,activo
106,pietix,npc-borinquen-classic-2026,NPC Borinquen Classic 2026,,desde $45.00,false,Teatro Interamericana de Bayamón,"Teatro Interamericana de Bayamón, Bayamón, Puerto Rico",11,9,https://pietix.com/npc-borinquen-classic-2026,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/npcinterlogojpg_8773f63223.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
107,pietix,sie7e-intimo,Sie7e: Íntimo 'Una Noche Acústica',"Una experiencia musical cercana, honesta y sin distracciones en el centro de Santurce. El cantautor puertorriqueño Sie7e llega en un formato acústico al Café Teatro Punto Fijo, en un concierto donde las canciones regresan a su esencia: voz, guitarra y conexión directa con el público. En un espacio diseñado para sentirse cerca, “Sie7e: ÍNTIMO” propone una noche diferente. Un concierto donde cada canción se vive de frente, sin filtros y llenas de historias.",desde $26.50,false,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",65,1,https://pietix.com/sie7e-intimo,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/1920x1080_Sie7e_fca459803c.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
108,pietix,tombola-yauco,'Standoperos' La Tómbola @ Yauco,"¡Tú pones los temas, nosotros los chistes! La Tómbola de Standoperos es un show de stand-up donde improvisan con los temas que tú mismo escribes en los papelitos de La Tómbola. Una experiencia distinta e impredecible cada noche junto a los Standoperos Cristiana Sánchez, Titito Sánchez, Ernesto Rolón y Erick Bonilla. Pon tu tema y ríete en La Tómbola Estelar.",desde $27.18,false,Teatro Ideal,"Teatro Ideal, Yauco, Puerto Rico",78,10,https://pietix.com/tombola-yauco,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Banners_TOMBOLA_Yauco_Page_7_a371244078.webp,horizontal,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
109,pietix,chisteando-mayaguez,Chisteando @ Mayagüez,"‘Chisteando’: Un show interactivo de stand-up comedy. Cristina Sánchez y Ernesto Rolón combinan crowd work (interacciones con el público) y stand-up tradicional para crear una experiencia única en cada función. Nos acompañan como invitados especiales Erick Bonilla y Titito Sánchez, directo desde los Standoperos.",desde $22.87,false,Teatro Balboa - Armando &quot;Chucho&quot; Avellanet,"Teatro Balboa - Armando &quot;Chucho&quot; Avellanet, Mayagüez, Puerto Rico",50,10,https://pietix.com/chisteando-mayaguez,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/CHISTEANDO_1920_WEPB_ce8038ad16.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
110,pietix,cuentos-de-padres,Cuentos de Padres,"El colectivo EYFA de Ángel Manuel y Karlos Khalil presentan esta hermosa combinación de 7 piezas de Microteatro donde 30 actores le dan vida a historias que nos enseñan el amor, los conflictos y las experiencias entre padres e hijos. Desde una mirada cotidiana y real se presentan como las familias viven, sufren y aman desde sus complicaciones diarias. Bájate de esa grúa, Amado y Solmary, Sobre la arena, Sobrepoblados, El sociolisto de Pedro Rodiz se cuentan con Ruido en el silencio de Karlos Khalil y Memorias Perdidas de Ruth María. Vive estas historias puertorriqueñas donde las emociones afloran y nos llenan de amor. Dirigen Ángel Manuel y Karlos Khalil.",desde $21.50,false,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",65,7,https://pietix.com/cuentos-de-padres,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Padre1920x1080_cf31d3ee3c.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
111,pietix,el-bardo-y-el-jibarito,El Bardo & El Jibarito,"La música de Rafael Hernández y Bobby Capó, interpretada por sus hijos Chalí Hernández y Jacqueline Capó.",desde $25.00,false,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",65,1,https://pietix.com/el-bardo-y-el-jibarito,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/EL_BARDO_Y_EL_JIBARITO_1920x1080_efdc8fe8f6.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
112,pietix,standoperos-chisteando,Chisteando @ Bayamón,"‘Chisteando’: Un show interactivo de stand-up comedy. ¡Chisteando regresa a Bayamón para seguir haciendo de las suyas! Cristina Sánchez y Ernesto Rolón combinan crowd work (interacciones con el público) y stand-up tradicional para crear una experiencia única en cada función. Nos acompañan como invitados especiales Erick Bonilla y Titito Sánchez, directo desde los Standoperos. ¡Nos vemos allí!",desde $25.18,false,Teatro Braulio Castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",11,10,https://pietix.com/standoperos-chisteando,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Banners_Chisteando1_Page_7_6f85924e2a.webp,horizontal,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
113,pietix,caribbean-gamic-expo2026,Caribbean Gamic Expo 2026,"Cada vez el juego se pone más difícil y en Caribbean GamiC expo le ofrecemos a nuestro público el próximo nivel. Este año decidimos darle un toque diferente y elegante a nuestro evento y es por eso que pasamos al nivel 4 en el Centro de Convenciones. Llegamos a nuestra casa donde todo comenzó en el año 2008 en el pueblo de Aguada. Espere como de costumbre una jornada divertida, familiar y sobretodo segura. No te pierdas esta hermosa experiencia. Dos días donde el gaming, el cosplay y la cultura pop se apoderan del escenario 🎮🎭 🫣Prepárate para ver: Invitados especiales, Cómics, TCG, Cosplay Contest, Videojuegos y muchas sorpresas más… 🔥 ¿Estás listo? 👀💥",desde $6.62,false,Centro de Convenciones de Aguada,"Centro de Convenciones de Aguada, Aguada, Puerto Rico",2,14,https://pietix.com/caribbean-gamic-expo2026,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Gamic_Promo_Boletos_tickets_05_398eac361b.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
114,pietix,penetrado-usa-tour,Kiko Blade 'Penetrado USA Tour',,desde $40.00,false,Tower Theater,"Tower Theater, Miami, Florida",28,10,https://pietix.com/penetrado-usa-tour,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Kiko_Ciudades_Florida_1920_x_1080_d555d90219.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
115,pietix,standup-comedy-espanol-puntofijo,Stand Up Comedy En Español @ PuntoFijo,"Dos venezolanos y un boricua se apoderan del escenario para demostrar que, aunque estemos lejos, el humor siempre nos conecta. Un showcase de stand-up sobre las situaciones más absurdas del día a día, desde las batallas con el termostato hasta ese vocabulario que solo nosotros entendemos. Una hora de comedia auténtica para reírte de la cotidianidad con todo el sabor de nuestra cultura.",desde $26.50,false,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",65,10,https://pietix.com/standup-comedy-espanol-puntofijo,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/standupespanol1920jpgpunto_6be4c458fc.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
116,pietix,ucp-one-night-revolution,UCP One Night Revolution,Meet & Greet será a las 4:30pm. El evento comienza a las 6:00pm.,desde $8.00,false,Dr. James R. Smith Neighborhood Center,"Dr. James R. Smith Neighborhood Center, Orlando, Florida",28,9,https://pietix.com/ucp-one-night-revolution,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/UCP_1920_04e6e15a85.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
117,pietix,standup-comedy-espanol-ponce,Stand Up Comedy En Español @ Studio 58 Ponce,"Dos venezolanos y un boricua se apoderan del escenario para demostrar que, aunque estemos lejos, el humor siempre nos conecta. Un showcase de stand-up sobre las situaciones más absurdas del día a día, desde las batallas con el termostato hasta ese vocabulario que solo nosotros entendemos. Una hora de comedia auténtica para reírte de la cotidianidad con todo el sabor de nuestra cultura.",desde $26.50,false,Studio 58 Comedy Club,"Studio 58 Comedy Club, Ponce, Puerto Rico",58,10,https://pietix.com/standup-comedy-espanol-ponce,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/02_ponce_1920x1080_6d0b82aeb6.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
118,pietix,kabeto-mayaguez,Kabeto @ Mayagüez,"El comediante Kabeto llega a Puerto Rico con “PROBANDITOE” un show íntimo donde lo primero es la interacción con el público que es fundamental para poner el ambiente sabroso y así construir junto con los espectadores las ideas que irá desarrollando con la finalidad de hacerlos reír y encontrar así el material de Stand up ideal para su próximo show personal. Habrá 2 comediantes invitados, segmentos sorpresa para el público además de un momento reservado para la audiencia increíble pero dependerá de si vienes a ver cuál es 😜🫶🏻.",desde $40.00,false,Teatro Balboa - Armando &quot;Chucho&quot; Avellanet,"Teatro Balboa - Armando &quot;Chucho&quot; Avellanet, Mayagüez, Puerto Rico",50,10,https://pietix.com/kabeto-mayaguez,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Gira_1920x1080_Kabeto_08_Ago_PR_2026_copia_e02872e683.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
119,pietix,kabeto,Kabeto @ Bayamón,"El comediante Kabeto llega a Puerto Rico con “PROBANDITOE” un show íntimo donde lo primero es la interacción con el público que es fundamental para poner el ambiente sabroso y así construir junto con los espectadores las ideas que irá desarrollando con la finalidad de hacerlos reír y encontrar así el material de Stand up ideal para su próximo show personal. Habrá 2 comediantes invitados, segmentos sorpresa para el público además de un momento reservado para la audiencia increíble pero dependerá de si vienes a ver cuál es 😜🫶🏻.",desde $40.00,false,Teatro Braulio Castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",11,10,https://pietix.com/kabeto,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Gira_1920x1080_Kabeto_Gen_PR_2026_copia_aa0dbfd8ff.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
120,pietix,quitate-tu-pa-ponerme-yo-usa-2026,Quítate Tú Pa' Ponerme Yo,,,false,Tower Theater,"Tower Theater, Miami, Florida",28,9,https://pietix.com/quitate-tu-pa-ponerme-yo-usa-2026,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Shopping_cart_4_jpg_7949be9732.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
121,pietix,juan-jose-hernandez,Juan José Hernández en Concierto,"Juan José Hernández en Concierto “Un Boricua nacido en Cuba” “Un Boricua nacido en Cuba” marca la primera presentación del cantautor cubano JUAN JOSÉ HERNÁNDEZ junto a su Orquesta San Juan Habana en la Sala René Marqués del Centro de Bellas Artes de Santurce. Más que un concierto, esta producción representa una narrativa artística que recorre la historia de un compositor inmigrante que salió de Cuba con sueños y esperanza, y que encontró en Puerto Rico un hogar, una oportunidad y una comunidad que creyó en su talento. Cada interpretación evoca un capítulo: la raíz, la partida, el sacrificio, el crecimiento y sobre todo, la gratitud. Este evento no solo celebra la música; celebra la resiliencia, la oportunidad y el profundo agradecimiento hacia Puerto Rico, la Isla que ha sido parte esencial de su trayectoria. Reglas Establecidas por la Facilidad: No se permite asistir a la facilidad en pantalones cortos. No se permite asistir a la facilidad en camisillas. No se permite utilizar gorras ni sombreros en la facilidad. No se permite utilizar chancletas en la facilidad. No se permite utilizar cámaras fotográficas ni cámaras de video. No se permite el uso de celulares dentro de la sala. No se permite el acceso a niños menores de 3 años en la facilidad. El uso de mascarillas dentro de la facilidad no es obligatorio. El uso de mascarillas está sujeto a discreción del visitante. Información Importante para los Visitantes: La Sección de Foso es por orden de llegada. Los asientos de Foso no son numerados. Las puertas abren dos (2) horas antes de la hora pautada para la función. Toda venta es final. No se realizan cambios ni devoluciones de boletos. Nos reservamos el derecho de admisión.",desde $50.00,false,Centro de Bellas Artes de Santurce,"Centro de Bellas Artes de Santurce, San Juan, Puerto Rico",65,1,https://pietix.com/juan-jose-hernandez,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/JJH_Un_boricua_nacido_en_cuba_1920x1080px_Pie_Tix_Shopping_Card_1_f11bbc014e.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
122,pietix,kefas-rame-tour2026,Kefas 'Ramé Tour 2026',"Entre el caos y la belleza, entre lo que duele y lo que inspira, nace Ramé. Kefas lleva al escenario un viaje emocional donde el pop rock se mezcla con historias humanas, vulnerables y poderosas. Cada canción es una huella que brilla bajo la luz. Este tour no solo se escucha: se siente, se vive y se recuerda.",desde $20.00,false,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",30,9,https://pietix.com/kefas-rame-tour2026,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/KEFAS_1920_WEBP_82da6c0c5f.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
123,pietix,candy-world-expo-winter2026,Candy World Expo Winter Wonderland 2026,"Prepárate para el evento más dulce del año en su Segunda Ediciòn!🌟🍬 ¡Llega a Puerto el evento de dulces más esperado, Candy World Expo en septiembre de 2026 en el Coliseo Ruben Rodriguez de Bayamòn! 🎉Deléitate con una experiencia inmersiva llena de dulzura, diversión y momentos inolvidables. 🎪 Sumérgete en un mundo de golosinas con exhibiciones, demostraciones de cocina en vivo y actividades interactivas para toda la familia. Captura cada momento dulce en nuestras coloridas instalaciones y comparte tu experiencia en las redes sociales con el hashtag #CandyWorldPR. 🛍️ Explora una amplia variedad de dulces, desde los clásicos favoritos hasta las últimas tendencias en confitería, en nuestra zona de compras candyliciosa. 25 de septiembre @7PM: Evento Exclusivo: Meet & Greet Pass: Boleto incluye dos copas de vino, entremeses y networking con varios pastry chef. Este pase no incluye entrada al evento regular el 26 y 27 de septiembre 2026. 26 & 27 de septiembre @10AM, evento general: Boleto Entreda General de Niños y Adultos. Boleto VIP incluye: Entrada una hora antes @9AM, taza oficial del evento, talleres exclusivos y goodie bag.",desde $10.00,false,Coliseo Rubén Rodríguez,"Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",11,4,https://pietix.com/candy-world-expo-winter2026,false,https://s3.us-east-2.amazonaws.com/cdn.pietix.com/Candy1920_2d18fadaca.webp,unknown,cover,0.50,0.28,1.08,80,pietix_auto_v1,true
