key,nombre_lugar,municipio_id,direccion,place_id,latitud,longitud,fuente,updated_at
embassy suites by hilton san juan hotel amp casino|16,Embassy Suites by Hilton San Juan Hotel &amp; Casino,16,"8000 C. José M. Tartak, Carolina, 00979, Puerto Rico",ChIJXQt7099lA4wRsDdD6EUYIzQ,18.4394497,-66.0221968,google_places,2026-05-14T20:25:00+00:00
facultad de humanidades|65,Facultad de Humanidades,65,"CW2X+XXH, Av. Universidad, San Juan, 00925, Puerto Rico",ChIJjy5w0INoA4wR2rOg2quBrKA,18.40243,-66.0500263,google_places,2026-05-14T20:19:48+00:00
fairmont el san juan hotel|65,Fairmont El San Juan Hotel,65,"6063 Av. Isla Verde, Carolina, 00979, Puerto Rico",ChIJX1t5_NtlA4wRuLwgT7A_evo,18.4433598,-66.01772249999999,google_places,2026-05-14T20:23:37+00:00
garner performing arts center|16,Garner Performing Arts Center,16,"Ave. Ponce De León Pda. 22 1/2, San Juan, 00907, Puerto Rico",ChIJgXI932hoA4wRoro39iaHOFk,18.4465793,-66.06872129999999,google_places,2026-05-14T20:24:08+00:00
general single ticket amp group pass complejo ferial de puerto rico|58,GENERAL SINGLE TICKET &amp; GROUP PASS - Complejo Ferial de Puerto Rico,58,"Av Rafael Cordero Santiago, Ponce, 00716, Puerto Rico",ChIJow6UhObVHIwRHSB9TCXXLk0,17.9872554,-66.599768,google_places,2026-05-14T20:24:48+00:00
general|65,General,65,"601 Avenida F.D. Roosevelt, San Juan, 00936, Puerto Rico",ChIJG377OuloA4wR8Key-sxhCOQ,18.417086,-66.0777639,google_places,2026-05-14T20:19:46+00:00
impro galeria|65,IMPRO Galería,65,"214 Av. Eleanor Roosevelt, San Juan, 00918, Puerto Rico",ChIJQ7QnUYlpA4wRfHR_avraOQU,18.4203209,-66.06076220000001,google_places,2026-05-14T20:23:58+00:00
killeen arts and activities center|28,Killeen Arts and Activities Center,28,"801 N 4th St B, Killeen, TX 76541, EE. UU.",ChIJPegZUXZMRYYRGI_Hg42jOrQ,31.1253515,-97.7279726,google_places,2026-05-14T20:24:18+00:00
la estacion|27,La Estación,27,"Fajardo, 00738, Puerto Rico",ChIJa7l5lxSXBIwRS4jwJmcapBM,18.3600625,-65.63793749999999,google_places,2026-05-14T20:24:51+00:00
la mordida taqueria mexicana|13,La Mordida Taqueria Mexicana,13,"70 C. Celís Aguilera, Caguas, 00725, Puerto Rico",ChIJG7csdDdbA4wR_RCKtdBZwPM,18.2361052,-66.0356264,google_places,2026-05-14T20:24:31+00:00
mesas y telon by dominguez|58,Mesas y Telón By Dominguez,58,"Esquina marina, C. Reina Isabel, Ponce, 00716, Puerto Rico",ChIJe6h4FADVHIwRdPam5DK_N38,18.0124375,-66.61350209999999,google_places,2026-05-14T20:24:44+00:00
midtown arts amp theater center|28,Midtown Arts &amp; Theater Center,28,"Ave. Ponce De León Pda. 22 1/2, San Juan, 00907, Puerto Rico",ChIJgXI932hoA4wRoro39iaHOFk,18.4465793,-66.06872129999999,google_places,2026-05-14T20:24:43+00:00
miller center for the arts|16,Miller Center for the Arts,16,"Ave. Ponce De León Pda. 22 1/2, San Juan, 00907, Puerto Rico",ChIJgXI932hoA4wRoro39iaHOFk,18.4465793,-66.06872129999999,google_places,2026-05-14T20:24:12+00:00
monero cafe teatro amp bar|13,Moneró Café Teatro &amp; Bar,13,"Calle Padial, Esq. Ruiz Belvis 3er Nivel, Centro de Bellas Artes de Caguas, Caguas, 00725, Puerto Rico",ChIJf6pzC8BbA4wRdnKMOvQuMw8,18.2362605,-66.0371798,google_places,2026-05-14T20:24:59+00:00
monero cafe teatro bar|13,Moneró Café Teatro & Bar,13,"Calle Padial, Esq. Ruiz Belvis 3er Nivel, Centro de Bellas Artes de Caguas, Caguas, 00725, Puerto Rico",ChIJf6pzC8BbA4wRdnKMOvQuMw8,18.2362605,-66.0371798,google_places,2026-05-14T20:23:25+00:00
monero online|13,Moneró - .Online,13,"Calle Padial, Esq. Ruiz Belvis 3er Nivel, Centro de Bellas Artes de Caguas, Caguas, 00725, Puerto Rico",ChIJf6pzC8BbA4wRdnKMOvQuMw8,18.2362605,-66.0371798,google_places,2026-05-14T20:20:05+00:00
museo de arte de puerto rico mapr|65,Museo de Arte de Puerto Rico (MAPR),65,"299 Av. de Diego, San Juan, 00909, Puerto Rico",ChIJGYZKTeNoA4wR6HGDU33r-LU,18.448276,-66.066284,google_places,2026-05-14T20:24:32+00:00
next generation 2026|71,Next Generation 2026,71,"47 PR-846, Trujillo Alto, 00976, Puerto Rico",ChIJ6wY-2sZnA4wRrajli4BltXA,18.3772882,-66.0256273,google_places,2026-05-14T20:19:57+00:00
ocala civic theater|28,Ocala Civic Theater,28,"4337 E Silver Springs Blvd, Ocala, FL 34470, EE. UU.",ChIJNZ_6WSIt5ogR2VETEPGk5Yk,29.2076918,-82.0756402,google_places,2026-05-14T20:24:03+00:00
palacio de recreacion y deportes|50,Palacio de Recreación y Deportes,50,"87 C. Miguel A. Santín, Mayagüez, 00680, Puerto Rico",ChIJYQvZ18uzAowRU665Z19nFqc,18.2063227,-67.1358935,google_places,2026-05-14T20:23:32+00:00
parking vip|65,Parking VIP,65,"Calle Joaquina, #19 Marginal Los Ángeles, Carolina, 00979, Puerto Rico",ChIJn8Pcp4BmA4wRPC_i2-8CgRk,18.4290516,-65.9986594,google_places,2026-05-14T20:20:10+00:00
parma snow library auditorium|28,Parma Snow Library Auditorium,28,"2121 Snow Rd, Parma, OH 44134, EE. UU.",ChIJ_4EMuGbvMIgRbot5YyuAW6c,41.4045619,-81.6973683,google_places,2026-05-14T20:24:36+00:00
parque agroturistico el dorado|26,Parque Agroturístico El Dorado,26,"FP3X+WXM, PR-165, Dorado, 00950, Puerto Rico",ChIJOV7Rv7oUA4wRBpS5srLNlKo,18.4548414,-66.25007819999999,google_places,2026-05-14T20:23:38+00:00
playa el escambron|65,Playa El Escambrón,65,"Balneario del Escambrón, San Juan, 00910, Puerto Rico",ChIJi5HmxiFvA4wRmJcpDYDbR4g,18.4669267,-66.08994109999999,google_places,2026-05-14T20:19:42+00:00
plaza de la independencia|65,Plaza de la Independencia,65,"CW8G+F6H, San Juan, 00918, Puerto Rico",ChIJs_xn8oBpA4wRcy-vMTceJT0,18.4161806,-66.0744002,google_places,2026-05-14T20:19:26+00:00
producciones arriaga|65,Producciones Arriaga,65,"408 Av. José Fidalgo Díaz, San Juan, 00912, Puerto Rico",ChIJaUp7UFFvA4wRCPLIOTXCmKE,18.4438879,-66.0641481,google_places,2026-05-14T21:55:06+00:00
puerto rico convention center|65,Puerto Rico Convention Center,65,"100 Blvd. Centro de Convenciones, San Juan, 00907, Puerto Rico",ChIJSa4blSlvA4wRONh8jsK1BKI,18.4534434,-66.0922646,google_places,2026-05-14T20:23:26+00:00
puntofijo|65,PuntoFijo,65,"Luis A. Ferre Theater, Av. Juan Ponce de León Pda 22 1/2, San Juan, 00907, Puerto Rico",ChIJEanZbEpvA4wR3dzyi-HOKg8,18.4472157,-66.06852649999999,google_places,2026-05-14T20:23:57+00:00
rancho grande anasco|6,"Rancho Grande, Añasco",6,"Carretera 401 Sector La Puente Bo, Añasco, 00610, Puerto Rico",ChIJFyGrAcWxAowRx45x9gFzbFc,18.2772099,-67.1887887,google_places,2026-05-14T20:20:21+00:00
saffra cowork|65,Saffra Cowork,65,"Edificio ILA, 1055 John Fitzgerald Kennedy Expy, San Juan, 00920, Puerto Rico",ChIJH23BgytpA4wRPZF4o-NSl8c,18.4333324,-66.0872411,google_places,2026-05-14T20:20:07+00:00
sheraton puerto rico hotel casino|65,Sheraton Puerto Rico Hotel & Casino,65,"200 Blvd. Centro de Convenciones, San Juan, 00907, Puerto Rico",ChIJd5KHAylvA4wRiY5wH4DF42o,18.4541629,-66.0902871,google_places,2026-05-14T20:20:08+00:00
shu community theatre|16,SHU Community Theatre,16,"1420 Post Rd, Fairfield, CT 06824, EE. UU.",ChIJYbMOzRQQ6IkRu5wX4sgqcug,41.1414826,-73.2568199,google_places,2026-05-14T20:24:04+00:00
shu community theatre|28,SHU Community Theatre,28,"1420 Post Rd, Fairfield, CT 06824, EE. UU.",ChIJYbMOzRQQ6IkRu5wX4sgqcug,41.1414826,-73.2568199,google_places,2026-05-14T20:24:37+00:00
strand theatre|28,Strand Theatre,28,"527 Duval St, Key West, FL 33040, EE. UU.",ChIJe99wZgC30YgRUxO8_Z5IsGc,24.5552551,-81.8020342,google_places,2026-05-14T20:24:40+00:00
studio 58 cafe teatro|30,Studio 58 Café Teatro,30,"Bo, Pueblo esquina baldorioty, Calle Calimano Martínez, Guayama, 00785, Puerto Rico",ChIJGWD0ZZmzHIwReKV79x8yBzk,17.9845591,-66.1140624,google_places,2026-05-14T20:24:15+00:00
studio 58 comedy club|58,Studio 58 Comedy Club,58,"58 C. Sol, Ponce, 00730, Puerto Rico",ChIJy49zeQDVHIwR2ID7kLCrbNA,18.0134874,-66.61450669999999,google_places,2026-05-14T20:24:25+00:00
studio 58 guayama|30,"Studio 58, Guayama",30,"Bo, Pueblo esquina baldorioty, Calle Calimano Martínez, Guayama, 00785, Puerto Rico",ChIJGWD0ZZmzHIwReKV79x8yBzk,17.9845591,-66.1140624,google_places,2026-05-14T20:19:31+00:00
studio 58 ponce|58,"Studio 58, Ponce",58,"58 C. Sol, Ponce, 00730, Puerto Rico",ChIJy49zeQDVHIwR2ID7kLCrbNA,18.0134874,-66.61450669999999,google_places,2026-05-14T20:20:18+00:00
sun on the beach|28,Sun On the Beach,28,"5770 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, EE. UU.",ChIJd6lmgVh_3YgRvsyiFJwiSzE,28.330197,-81.515997,google_places,2026-05-14T20:24:16+00:00
t tapia 4 precios|65,T.Tapia - 4 precios,65,"4 C. Tapia, San Juan, 00911, Puerto Rico",Eig0IEMuIFRhcGlhLCBTYW4gSnVhbiwgMDA5MTEsIFB1ZXJ0byBSaWNvIjASLgoUChIJOc_29FlvA4wR_pVoptaERIIQBCoUChIJcScQ6VNvA4wRQIQDMUSHg4Q,18.4534996,-66.0521869,google_places,2026-05-14T20:19:38+00:00
teatro balboa armando quot chucho quot avellanet|50,Teatro Balboa - Armando &quot;Chucho&quot; Avellanet,50,"196 C. Méndez Vigo, Mayagüez, 00680, Puerto Rico",ChIJmexoIgCzAowRcMLqWhCZ-QU,18.2014361,-67.13526650000001,google_places,2026-05-14T20:24:57+00:00
